binning_data,update_time,create_time,count,speed,distance,calorie
ce578003-d104-4597-ab47-027e3051d23d.binning_data.json,15:37.0,6/11/2022,6957,1.2818797,5224.25,260.18
e7158651-a7ea-4bff-97a0-966db012eef7.binning_data.json,15:02.8,6/10/2022,1536,1.3223954,1163.34,55.12
01b9ed91-2b6d-4c31-aa1f-09fd64bbc041.binning_data.json,15:00.6,5/31/2022,305,1.2680712,227.23,11.11
9270c14b-57ff-4e4b-9fec-d2889a4f771c.binning_data.json,20:01.0,6/11/2022,4710,1.2018801,3486.27,181.12999
5246059d-b278-428d-bcdc-55d81ff6474c.binning_data.json,06:23.0,6/4/2022,11063,1.2303559,8194.62,429.69998
fcba2fb8-45de-45a2-b218-735a85f16033.binning_data.json,44:01.1,6/13/2022,8404,1.2780683,6295.86,317.50998
9b2a33f5-86a5-4c1f-a338-94e57746c55b.binning_data.json,15:32.0,6/3/2022,3046,1.3115605,2304.05,114.92999
89078e7b-393d-45d5-a9f0-c052503789ba.binning_data.json,35:02.9,6/15/2022,794,1.4097868,608.8,28.189999
bf195de2-1bd9-47a5-ae70-070ae0373da2.binning_data.json,15:02.1,6/13/2022,1511,1.3019403,1142.12,55.089996
ab53ed26-124d-447a-8f08-1a6dddad3cfa.binning_data.json,20:36.4,6/17/2022,3786,1.3755283,2877.62,139.09
b60147e6-ef26-4c13-88c6-e9679d646dc3.binning_data.json,54:56.2,6/14/2022,8404,1.2780683,6295.86,317.50998
9b5eef02-3960-4c3b-9b7c-d0dc6dcadf95.binning_data.json,49:05.1,6/7/2022,2726,1.2950106,2041.98,104.11
34447a6a-5873-48f0-9cac-c799b3ad058f.binning_data.json,35:01.4,6/17/2022,11352,1.3413631,8616.22,424.03
027c8935-d862-4085-b114-d49c34064170.binning_data.json,52:27.9,6/6/2022,410,1.3151302,312.47,15.549999
e3c47927-b900-4881-b724-e46e28105298.binning_data.json,58:01.8,6/20/2022,2591,1.4441328,2006.76,92.06
d2ef6861-780e-4993-9538-7e0b13b470ca.binning_data.json,42:59.1,6/10/2022,1536,1.3223954,1163.34,55.12
